response,subset,term,contrast,bt_estimate,bt_conf_low,bt_conf_high,p_value,statistic,estimate_raw,model_name,model_formula,abbr_term,abbr_contrast,abbr_subset
abundance,Native forb,Year,2022 - 2019,1.6649144252577537,1.1629203598007425,2.3836026431821242,0.005363244699352787,2.784366180802751,0.5097747258699857,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y4,frb
abundance,Native forb,Year,2022 - 2020,1.6779768716809538,1.0815498569619717,2.603307063259313,0.020898262101784804,2.309817462520071,0.5175898246848002,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y5,frb
abundance,Native forb,Year,2022 - 2021,1.343242164877731,0.9783881729634227,1.8441550739931805,0.06802296177130862,1.8248546800754628,0.2950872176507134,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y6,frb
abundance,Non-native,2y Break,2y Break,0.24890816465444016,0.00195812662201509,1.0858987648245697,0.0718153452067769,1.8002869197326068,0.4989069699397275,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_two_yr,t1 - t0,non
abundance,Non-native,Grazing treatment,Grazed - Ungrazed,3.354634591369291e-5,0.09366452473892688,0.0867083193895022,0.9698409598652111,-0.0378077566725073,-0.005791920744769641,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),treatment,Grazed - Ungrazed,non
abundance,Non-native,Year,2020 - 2019,2.7136384949606605,4.983516746870194,1.1283662377229469,3.419626026790468e-8,-5.518470632536568,-1.647312506769939,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y5 - y4,non
abundance,Non-native,Year,2021 - 2019,10.799829006017468,14.414037968385623,7.7063772705889395,0,-12.622746942425529,-3.286309329022067,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y6 - y4,non
abundance,Non-native,Year,2021 - 2020,2.6863105833525744,4.8137559471278655,1.1749829599423287,7.1337851181851875e-9,-5.78774439977601,-1.6389968222521283,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y6 - y5,non
abundance,Non-native,Year,2022 - 2019,6.655604157328295,9.041712660952781,4.634321588482126,0,-11.838971608576593,-2.5798457623137656,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y7 - y4,non
abundance,Non-native,Year,2022 - 2020,0.8696182726951421,2.1361221893396394,0.1628272901055153,5.503465038709798e-4,-3.4549736999612777,-0.9325332555438128,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y7 - y5,non
abundance,Non-native,Year,2022 - 2021,0.49909077108624655,0.0484964342292097,1.4225525492493818,0.004404647018231289,2.8476273294879433,0.706463566708324,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y7 - y6,non
